freeze_layers,num_dense_layers,units_0,dropout_0,optimizer,learning_rate,units_1,dropout_1,units_2,dropout_2,momentum,val_accuracy
150,3,192,0.30000000000000004,sgd,0.003078438095192701,256,0.30000000000000004,448,0.1,0.7000000000000001,0.5799999833106995
160,2,512,0.30000000000000004,sgd,0.009287959309973642,320,0.0,320,0.2,0.2,0.5600000023841858
140,2,512,0.0,sgd,0.0007457155735363331,256,0.0,448,0.0,0.5,0.5199999809265137
170,1,448,0.1,sgd,0.0007158523446965609,192,0.2,512,0.0,0.4,0.5133333206176758
140,1,384,0.0,adam,0.0025571762574480923,448,0.30000000000000004,320,0.4,0.7000000000000001,0.5099999904632568
160,1,192,0.2,adam,0.001527827126190688,448,0.30000000000000004,320,0.1,0.0,0.49666666984558105
150,2,512,0.0,adam,0.004775997084853832,320,0.30000000000000004,64,0.4,0.8,0.4933333396911621
110,2,192,0.0,adam,0.0006710568502608638,192,0.4,64,0.2,0.2,0.46000000834465027
150,1,512,0.0,adam,0.0004645769617789411,128,0.1,512,0.4,,0.4099999964237213
0,2,128,0.1,adam,0.0021963029380171572,64,0.30000000000000004,64,0.0,0.6000000000000001,0.38333332538604736
50,1,384,0.2,sgd,0.000612907505867388,192,0.0,256,0.2,0.6000000000000001,0.3799999952316284
30,2,384,0.1,adam,0.004733138904121268,512,0.0,192,0.0,0.1,0.3633333444595337
120,3,128,0.30000000000000004,adam,0.009807689907202592,64,0.0,64,0.0,,0.3466666638851166
30,2,320,0.30000000000000004,sgd,0.0004264401157975197,64,0.30000000000000004,128,0.2,0.0,0.3400000035762787
100,2,512,0.2,adam,0.005285473834357042,128,0.4,320,0.30000000000000004,0.1,0.3400000035762787
20,1,192,0.4,adam,0.004543242153595538,192,0.0,384,0.4,,0.33666667342185974
0,3,128,0.4,adam,0.0017882630083374004,320,0.4,256,0.1,0.5,0.33666667342185974
10,2,512,0.4,sgd,0.005345318805375227,192,0.0,64,0.2,0.0,0.3333333432674408
130,3,128,0.1,adam,0.0036057598408537526,384,0.30000000000000004,256,0.2,0.8,0.3333333432674408
20,2,64,0.4,sgd,0.0005579877919933368,128,0.30000000000000004,320,0.30000000000000004,0.1,0.3333333432674408
60,1,384,0.4,adam,0.006394637873907569,448,0.4,128,0.30000000000000004,0.6000000000000001,
